_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,124847,0:01:18,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.07333333333,0.1333333333,0.06348612786,0.003709241847,0.02446724474,-0.7555590677,0.06746472341,0,2.23E-74,0.2220571308,0,0,2.867757797,86.90174866,932,0,0,0,0,0,563,,,0,0,^7ragespec,^7jaw^1a
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,165239,0:01:59,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.03,0.03,0.008440974944,0.001100234822,0.0004388118396,-1.201557734,0.063332458,0,3.39E-83,0.06124892823,0,0,1.516849518,45.96513748,894,0,0,64,546,248,476,,,318,183,^7ragespec,^7jaw^1a
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,171311,0:02:05,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.01666666667,0.03,0.006978029244,0.0009656323664,0.0002167683851,-1.272786445,0.06175712476,0,5.76E-110,0.05507842777,0,0,0,0,2214,0,0,65,529,280,365,,,459,29,^7ragespec,^7?fuck lg (4/5)
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,287504,0:04:01,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.01,0.02,0.017980009,0.001648788586,0.0003156567982,-1.000523904,0.06859900611,0,1.00E-60,0.123532129,0,0,3.290698767,99.71814728,791,0,0,48,296,0,411,,,6,0,^7ragespec,^7?fuck lg (4/5)
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,294335,0:04:08,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.03333333333,0.03666666667,0.02113197571,0.001482094531,0.0003958973684,-0.9792639864,0.06271328372,0,1.63E-66,0.1673520616,0,0,0.82788378,25.08738708,1113,0,0,71,31,63,425,,,11,8,^7ragespec,^7jaw^1a
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,446828,0:06:40,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.09333333333,0.06333333333,0.01446593983,0.004477427459,0.0326445885,-1.093447638,0.06881367529,0,2.92E-71,0.2320154569,0,0,6.191110134,187.6094055,367,0,0,0,646,160,565,,,174,42,^7ragespec,^7?fuck lg (3/5)
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,499397,0:06:47,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.03666666667,0.01333333333,0.02016084978,0.001482094531,0.0004888057592,-0.9789659567,0.06839481164,0,1.01E-66,0.1445203098,0,0,0.1842463166,5.583221912,1047,0,0,70,328,0,452,,,8,0,^7ragespec,^7?fuck lg (4/5)
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,508274,0:06:56,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0,0.003333333333,0.00198739876,0.002020444442,0.004143674858,-1.695956871,0.05239141086,0,1.52E-33,9.27E-59,4.293324947,0.03252518922,9.926239014,300.7951355,291,0,0,0,0,0,258,,,0,0,^7ragespec,^7jaw^1a
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,544277,0:07:32,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.05,0.01666666667,0.01644248492,0.001852949228,0.002947325585,-1.002861789,0.0701002802,0,7.81E-63,0.1259524401,0,0,6.245727539,189.2644653,992,0,0,91,442,0,407,,,13,0,^7ragespec,^7?fuck lg (4/5)
12 ragespec ctf_metalorn_v2 2024-06-23_22-34-54.dm_26.dm_meta,545828,0:07:33,47099,1308062,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.02666666667,0.006666666667,0.01293523001,0.001648788586,0.0007967014681,-1.054041692,0.06467124363,0,1.15E-46,0.08707573165,0,0,4.69767046,142.353653,1030,0,0,60,0,0,240,,,0,0,^7ragespec,^7jaw^1a
