_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,label_ts,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
0202_rocket_ctf1.dm_26.dm_meta,29128500,0:01:26,29063450,30594850,MOD_REPEATER_ALT,good,FALSE,2025-06-25 20:56:07,,,,,,,,,,,47.0043602,0.1175108999,51.09096146,1548.210938,104,182,504,355,667,208,509,50,4,221,52,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},^3n^7airda^3.
10 most overrated jka player mpctf_telti 2021-03-28_03-19-32.dm_26.dm_meta,1168571,0:13:12,376736,1592357,MOD_ROCKET,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0,0,4.035595417,122.2907715,919,0,966,707,746,22,549,627,2,242,123,^7most overrated jka playe,^3Xen's Apprentice
2017-12-08_19-35-39_ctf_nelvaan.dm_26.dm_meta,1311564,0:18:20,212235,1427625,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0,0,0.1706421226,5.170973301,968,347,0,366,742,305,614,561,-24,176,65,^3Xen_Crypt,^5THE EVERRAPING
2017-12-20 kejim 4v4 1849.dm_26.dm_meta,4479984,0:06:45,4075833,5291289,MOD_ROCKET,good,FALSE,2025-07-01 3:30:24,,,,,,,,,,,0,0,9.449627876,286.352356,684,680,164,693,500,143,421,3069,0,46,4,^3Xen_Crypt,
2017-12-29 dosuun 4v4 0149.dm_26.dm_meta,230216,0:01:41,130325,1345055,MOD_ROCKET,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0.1706421226,0.002585486742,0.2395044714,7.257711411,1241,147,0,334,711,50,414,1617,-8,88,0,^3Xen_Crypt,
2017-12-29 nelvaan 4v4.dm_26.dm_meta,611630,0:04:11,361523,1576913,MOD_ROCKET,good,FALSE,2025-07-01 3:30:24,,,,,,,,,,,0,0,18.72626114,567.4624634,645,519,286,581,762,295,613,957,6,167,52,^3Xen_Crypt,
2017-12-30 kejim 4v4 (2).dm_26.dm_meta,1153556,0:09:02,612455,1827449,MOD_REPEATER_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,4.484538555,135.8951111,638,365,0,374,447,764,632,429,-15,172,136,^3Xen_Crypt,^8rustdonis
2018-01-27 kejim 3v3 0645.dm_26.dm_meta,1126005,0:06:40,726705,2048685,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0.5482717156,0.01661429368,2.148171425,65.09610748,4521,177,0,324,139,197,446,2838,0,68,59,^3Xen_Crypt,^7kreS
2018-04-18 cairn 5v5.dm_26.dm_meta,420271,0:01:51,309655,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0,0,7.630020618,231.2127533,822,502,155,528,238,246,528,396,-3,44,27,^3Xen_Crypt,^9jaw4
2018-04-18 kejim 4v4.dm_26.dm_meta,1129961,0:18:06,45218,1260476,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,3.771528244,0.0571443662,8.404168129,254.6717682,298,1034,393,991,1421,86,963,363,0,613,33,^3Xenman,^9jaw4
2018-04-22 talay 4v4.dm_26.dm_meta,751851,0:10:37,115347,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0,0,0.1922607422,5.826083183,517,728,254,706,1469,306,910,330,-3,642,51,^3Xen_Crypt,
2018-04-25 kejim 4v4 1224.dm_26.dm_meta,848207,0:11:00,188867,1403993,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0.6828557253,0.006897532381,3.75112319,113.6704025,601,1022,0,1203,499,22,390,297,3,74,0,^3Xen_Crypt,^7nero
