_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
0043_sniper.dm_26.dm_meta,17248650,00:00:42.850,17218500.0,18416500.0,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,0.0,0.0,14.931891441345215,452.4815673828125,598.0,0,0,0,154.0,95.0,603.0,,,343.0,181.0,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},^7Padawan w/ rabies
0043_sniper.dm_26.dm_meta,17578950,00:06:13.150,17218500.0,18416500.0,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,1.1076321601867676,0.0027690804563462734,9.617728233337402,291.4463195800781,837.0,0,0,0,0.0,0.0,80.0,,,0.0,0.0,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},^2Neo
0043_sniper.dm_26.dm_meta,17586250,00:06:20.450,17218500.0,18416500.0,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,2.238577127456665,0.007461923640221357,2.6913645267486572,81.55650329589844,1626.0,0,0,55,102.0,0.0,166.0,,,2.0,0.0,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},^5[D-B]^7Treck
0043_sniper.dm_26.dm_meta,17614600,00:06:48.800,17218500.0,18416500.0,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,0.36321404576301575,0.007264280691742897,2.583101511001587,78.27580261230469,1841.0,10,0,62,352.0,293.0,355.0,,,94.0,58.0,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},
0043_sniper.dm_26.dm_meta,17650550,00:07:24.750,17218500.0,18416500.0,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,0.17526550590991974,0.0017526550218462944,12.462702751159668,377.65765380859375,879.0,0,0,146,156.0,0.0,225.0,,,7.0,0.0,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},^5[D-B]^7Treck
2011_ctf4.dm_26.dm_meta,162329853,00:19:46.288,161117268.0,,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,0.0,0.0,179.69207763671875,5445.21435546875,866.0,190,0,570,291.0,0.0,486.0,,,12.0,0.0,^3Xen_Crypt,
2018-05-30 ramodi 4v4.dm_26.dm_meta,1164648,00:16:04.066,201510.0,1416636.0,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,0.0,0.0,0.15321891009807587,4.6429972648620605,1313.0,0,0,137,665.0,147.0,1009.0,,,300.0,18.0,^3Xen_Crypt,
2018-06-21 nelvaan 4v4.dm_26.dm_meta,782867,00:08:22.363,281465.0,1496558.0,MOD_DISRUPTOR,good,False,,,,,,,,,,,3.9423394203186035,0.05973241478204727,5.6330437660217285,170.69830322265625,537.0,1144,415,1158,148.0,0.0,228.0,,,3.0,0.0,^3Xen_Crypt,^3B!|rad^5le
2019-06-02 nelvaan 4v4.dm_26.dm_meta,1335621,00:18:59.659,153297.0,,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,2.4782025814056396,0.07509704679250717,7.649427890777588,231.80084228515625,695.0,1051,716,1109,100.0,158.0,222.0,,,71.0,65.0,^3Xen_Crypt,^7cydrl@steam if picked
2019-06-08 kejim 4v4.dm_26.dm_meta,412541,00:04:11.266,164942.0,1377329.0,MOD_DISRUPTOR,good,False,,,,,,,,,,,0.0,0.0,1.4311773777008057,43.36901092529297,1619.0,982,151,963,293.0,330.0,344.0,,,182.0,148.0,^3Xen_Crypt,^7Padawan
2019-11-27 talay 4v4.dm_26.dm_meta,539133,00:05:24.031,216063.0,,MOD_DISRUPTOR_SNIPER,good,False,,,,,,,,,,,0.0,0.0,4.403757095336914,133.4471893310547,697.0,407,831,575,145.0,495.0,236.0,,,431.0,422.0,^3Xen_Crypt,^7ger
