_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,270377,00:01:13.627,197183,1388087.0,MOD_REPEATER_ALT_SPLASH,bad,False,0.16,0.14,0.13955095365367146,0.0333219911990025,0.020872032269835472,-0.7263568994344101,0.1639506548358338,0.2,1.268064983132401e-07,0.5558514642398653,0.0,0.0,4.3913750648498535,133.0719757080078,59.0,111.0,145.0,418.0,449.0,6.0,396.0,,,13.0,4.0,^4h^0annah,^7cuk o
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,299978,00:01:43.228,197183,1388087.0,MOD_ROCKET,bad,False,0.3125,0.3433333333333333,0.3011940497114322,0.10022247720565006,0.02548421360552311,-0.08827685497969512,0.34042632571856557,0.4,0.9999998343190301,0.7102838435155175,0.0,0.0,3.5920419692993164,108.8497543334961,581.0,277.0,0.0,337.0,174.0,26.0,236.0,462.0,4.0,45.0,15.0,^4h^0annah,^7cuk o
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,369938,00:02:53.188,197183,1388087.0,MOD_ROCKET_SPLASH,bad,False,0.16333333333333333,0.16666666666666666,0.13794318182628787,0.08880908460398024,0.06026270613074303,-0.7297183297130072,0.1695489691984116,0.0,3.033240539736894e-09,0.5155693764709003,0.0,0.0,11.19059944152832,339.10906982421875,191.0,450.0,390.0,418.0,360.0,45.0,292.0,,,23.0,0.0,^4h^0annah,^7gengszter99
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,375449,00:02:58.699,197183,1388087.0,MOD_ROCKET_SPLASH,bad,False,0.22333333333333333,0.2833333333333333,0.16836471862421676,0.12445113345075942,0.20073851943016052,-0.6596355641807196,0.1858582746135905,0.4,0.0012294843140703636,0.6128066206597336,1.7578125,0.01775568164885044,1.7578125,53.26704406738281,150.0,502.0,23.0,533.0,585.0,435.0,644.0,,,346.0,35.0,^4h^0annah,^7cuk o
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,400991,00:03:24.241,197183,1388087.0,MOD_ROCKET_HOMING_SPLASH,bad,False,,,,,,,,,,,0.0,0.0,4.104830741882324,124.38880920410156,96.0,807.0,378.0,518.0,557.0,170.0,338.0,,,138.0,42.0,^4h^0annah,^7gengszter99
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,450194,00:04:13.444,197183,1388087.0,MOD_CONC,bad,False,,,,,,,,,,,0.0,0.0,15.053923606872559,456.17950439453125,94.0,393.0,122.0,483.0,230.0,108.0,304.0,,,69.0,0.0,^4h^0annah,^7cuk o
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,543584,00:05:46.834,197183,1388087.0,MOD_CONC,bad,False,,,,,,,,,,,0.0,0.0,0.5601950287818909,16.97560691833496,467.0,480.0,35.0,371.0,868.0,397.0,510.0,132.0,1.0,212.0,79.0,^4h^0annah,^7cuk o
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,915989,00:11:59.239,197183,1388087.0,MOD_ROCKET_SPLASH,bad,False,0.14,0.09666666666666666,0.14605056170893646,0.09237404015059535,0.0013235007645562291,-0.6976589574767453,0.17970851836916876,0.2,1.5380819006832226e-12,0.468657876588363,0.0,0.0,6.2286787033081055,188.74783325195312,250.0,70.0,5.0,682.0,568.0,57.0,410.0,,,109.0,0.0,^4h^0annah,^7cuk o
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,943478,00:12:26.728,197183,1388087.0,MOD_FALLING,bad,True,,,,,,,,,,,0.0,0.0,5.537049293518066,167.78936767578125,,431.0,0.0,2779.0,,,,,,,,^4h^0annah,^7gengszter99
0 hannah mpcmp_ctf_kothis_v1 2021-12-17_23-39-47.dm_26.dm_meta,1023206,00:13:46.456,197183,1388087.0,MOD_CONC,bad,False,,,,,,,,,,,0.0,0.0,96.05865478515625,2910.868408203125,33.0,206.0,50.0,401.0,105.0,47.0,146.0,,,14.0,0.0,^4h^0annah,^7gengszter99
