_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2018-06-09 kejim 4v4.dm_26.dm_meta,1316741,0:18:59,119204,,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.56,0.44,0.07095772516,0.8976318442,0:18:59,^3Xen_Crypt,^7jawa FAN,MOD_FLECHETTE_ALT_SPLASH,0,0,3.729858398,113.0260162,46,1145,982,1125,233,326,578,,,245,78
2019-03-05 kejim 2v2.dm_26.dm_meta,18016872,0:16:32,17222463,18240810,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.47,0.6166666667,0.9873177262,0.6217549781,0:16:32,^3Xen_Crypt,^1W^0okgra^1n X,MOD_FLECHETTE_ALT_SPLASH,0.1082027853,0.003278872231,0.3057477474,9.265083313,2103,85,0,2122,530,130,480,,,178,59
2020-01-25 kharzet 4v4.dm_26.dm_meta,886161,0:13:12,95052,1309815,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.35,0.3733333333,0.7609330542,0.5772526826,0:13:12,^3Xen_Crypt,^7flower,MOD_FLECHETTE_ALT_SPLASH,40.44837189,0.4085694253,43.33467865,1313.172119,936,452,0,349,437,62,522,,,64,8
2020-02-16 sikurd 4v4.dm_26.dm_meta,54289,0:00:54,12379,811903,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.66,0.5,0.3005649955,0.6221791022,0:00:54,^3Xen_Crypt,^7{ELITE}RANGER,MOD_FLECHETTE_ALT_SPLASH,7.542602539,0.02857046388,146.3271484,4434.15625,187,187,0,147,119,77,259,,,26,0
2020-02-28 kejim 4v4 (2).dm_26.dm_meta,1149307,0:17:03,127066,1341895,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4694444444,0.5066666667,0.9998499015,0.8319669471,0:17:03,^3Xen_Crypt,^7vieja del coronavirus,MOD_FLECHETTE_ALT_SPLASH,176.9492645,0.6702623367,176.9492645,5362.099121,4035,434,0,4043,154,88,241,,,58,42
2020-04-01 carratos 4v4.dm_26.dm_meta,878303,0:13:01,98381,1312253,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4833333333,0.6133333333,0.1813793246,0.5827211342,0:13:01,^3Xen_Crypt,,MOD_FLECHETTE_ALT_SPLASH,0.7757818103,0.007836179808,38.45589447,1165.3302,35,1310,239,359,806,88,364,,,39,0
2020-04-01 kejim 4v4.dm_26.dm_meta,951699,0:12:43,189993,1403997,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4733333333,0.54,0.1595080051,0.6061627763,0:12:43,^3Xen_Crypt,^7-=^1redstar^7=-,MOD_FLECHETTE_ALT_SPLASH,0,0,61.91500473,1876.21228,30,1435,227,386,549,77,317,,,44,0
2020-04-11 kejim 4v4 2046.dm_26.dm_meta,478640,0:06:33,87029,1524212,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.5433333333,0.4433333333,0.216717128,0.862541446,0:06:33,^3Xen_Crypt,^7CYD BASE ONLY,MOD_FLECHETTE_ALT_SPLASH,0,0,2.424682856,73.47523499,84,1128,96,395,344,372,846,,,111,79
2020-04-11 talravin 4v4.dm_26.dm_meta,1737821,0:26:18,46076,1938923,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.43,0.5833333333,0.9963803841,0.3650311393,0:26:18,^3Xen_Crypt,^7hide the pain harold,MOD_FLECHETTE_ALT_SPLASH,0.6763733625,0.006832054351,0.9206582308,27.89873505,2429,396,0,1599,636,69,446,,,158,0
2020-04-26 kejim 4v4.dm_26.dm_meta,1126331,0:17:28,79472,1546982,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4,0.52,0.1527028419,0.6061627763,0:17:28,^3Xen_Crypt,^0ent,MOD_FLECHETTE_ALT_SPLASH,0,0,52.58870316,1593.597046,60,1193,117,423,481,206,293,,,279,3
2020-05-13 kejim 4v4.dm_26.dm_meta,894807,0:11:08,227448,1442409,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4166666667,0.4166666667,0.8758312057,0.7580445248,0:11:08,^3Xen_Crypt,^7_***Bourbon***_,MOD_FLECHETTE_ALT_SPLASH,11.51642418,0.3489825428,39.74754715,1204.471191,1200,473,0,432,451,79,455,,,119,0
2020-05-15 kejim 3v3.dm_26.dm_meta,234077,0:02:34,81320,1294961,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.47,0.6033333333,0.9996638751,0.2919077737,0:02:34,^3Xen_Crypt,^7Padawan,MOD_FLECHETTE_ALT_SPLASH,1.681671023,0.05095972866,19.08803368,578.425293,3045,622,151,487,305,61,646,,,17,0
2020-05-20 dosuun 4v4.dm_26.dm_meta,211905,0:00:31,181710,1395813,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4166666667,0.51,0.1681838114,0.6061627763,0:00:31,^3Xen_Crypt,^7Padawan,MOD_FLECHETTE_ALT_SPLASH,0,0,74.62793732,2261.452637,32,1375,191,400,534,108,351,,,52,0
2020-07-31 nelvaan 4v4 (2).dm_26.dm_meta,782372,0:09:36,207644,1422440,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.5566666667,0.45,0.02144980255,0.6279932358,0:09:36,^3Xen_Crypt,^6superfish,MOD_FLECHETTE_ALT_SPLASH,0,0,111.5363083,3379.888184,,167,0,4943,,,,,,,
2020-08-11 kejim 4v4 (2).dm_26.dm_meta,680105,0:10:34,47528,1262390,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.3833333333,0.52,0.1808699721,0.6061627763,0:10:34,^3Xen_Crypt,^7teh,MOD_FLECHETTE_ALT_SPLASH,0,0,48.93407059,1482.850586,67,1229,219,405,801,244,402,,,265,3
2020-10-02 kejim 3v3 (2).dm_26.dm_meta,1666516,0:03:49,1438585,2803498,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4833333333,0.5233333333,0.1575611899,0.8011687902,0:03:49,^3Xen_Crypt,^4r^7d^4l,MOD_FLECHETTE_ALT_SPLASH,0,0,28.91612244,876.2461548,33,1217,74,307,399,20,239,,,37,0
OVERHALLIA. CTF _0041_ctf_kejim.dm_26.dm_meta,2200295,0:12:34,1447598,,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4371111111,0.6516666667,0.9999255032,0.633640314,0:12:34,^3Xen_Crypt,^7serk,MOD_FLECHETTE_ALT_SPLASH,0,0,7.653822899,231.934021,3593,484,0,549,279,134,237,,,27,10
1157_rocket.dm_26.dm_meta,38577650,0:11:20,38092850,39112750,MOD_ROCKET_SPLASH,good,TRUE,0.51,0.4133333333,0.2368739714,0.5071622158,0:11:20,^3Xen_Crypt,Scarlett Dependus,MOD_ROCKET_SPLASH,58.35023117,0.05557164922,149.1132965,4518.584961,168,136,1,366,40,327,237,,,35,11
1249_megarocket.dm_26.dm_meta,33828000,0:09:58,33253200,34560000,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.4783333333,0.4166666667,0.5341105691,0.5075997994,0:09:58,^4{^7JOC^4}^3Xen_Crypt^4{^6JGM^4},Padawan,MOD_REPEATER_ALT_SPLASH,29.89541626,0.09965138882,171.7078857,5203.269531,524,227,0,241,467,327,368,,,364,41
2017-12-27 ctf4 4v4.dm_26.dm_meta,1219391,0:15:58,262028,1477418,MOD_ROCKET_SPLASH,good,TRUE,0.6,0.4766666667,0.01969787223,0.5741414459,0:15:58,^3Xen_Crypt,^7bra^2/^3/^4/^7sith,MOD_ROCKET_SPLASH,0,0,36.55968094,1107.869141,,0,33,4839,,,,,,,
2018-12-14 kejim 4v4.dm_26.dm_meta,617178,0:00:23,595365,,MOD_ROCKET_SPLASH,good,TRUE,0.5033333333,0.445,0.8534464531,0.2990938449,0:00:23,^3rest,^7serk,MOD_ROCKET_SPLASH,0,0,0,0,1438,491,1513,1227,412,244,629,,,164,46
2019-06-29 dosuun 4v4.dm_26.dm_meta,582891,0:05:45,239031,1452837,MOD_ROCKET_SPLASH,good,TRUE,0.4566666667,0.2766666667,0.5163401353,0.7556303023,0:05:45,^3Xen_Crypt,^7gengszter99,MOD_ROCKET_SPLASH,3.111284494,0.09428134561,102.386261,3102.614014,555,12,294,672,144,1062,752,,,20,19
2020-02-09 kejim 4v4 (3).dm_26.dm_meta,2181147,0:14:27,1320078,2358522,MOD_ROCKET_SPLASH,good,TRUE,0.3833333333,0.33,0.5438141528,0.6181461175,0:14:27,^3Xen_Crypt,^7flower,MOD_ROCKET_SPLASH,9.253594398,0.2804119587,45.05535507,1365.313843,676,463,140,493,289,96,419,,,85,0
2020-02-15 kothis 4v4.dm_26.dm_meta,1892962,0:09:53,1305892,2054299,MOD_ROCKET_SPLASH,good,TRUE,0.4337777778,0.2983333333,0.8158437042,0.5377342711,0:09:53,^3Xeo_Crypto,^7LEVI,MOD_ROCKET_SPLASH,0,0,176.5790405,5350.879883,1049,541,44,602,206,140,0,,,88,0
2020-02-21 carratos 4v4.dm_26.dm_meta,1319480,0:17:30,274139,1485701,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.5236111111,0.445,0.4341920044,0.9177710868,0:17:30,^3Xen_Crypt,^7Padawan,MOD_REPEATER_ALT_SPLASH,18.87550163,0.1429962218,39.17181015,1187.024536,812,1063,468,1212,83,33,0,,,8,0
2020-04-03 kejim 4v4 (2).dm_26.dm_meta,411617,0:06:12,40730,1255592,MOD_ROCKET_SPLASH,good,TRUE,0.5044444444,0.62,0.9999358172,0.3974976899,0:06:12,^3Xen_Crypt,^5ski,MOD_ROCKET_SPLASH,13.56939316,0.2055968642,76.95245361,2331.892578,4344,516,302,4554,142,47,23,,,6,0
2020-04-11 aeten 2v2 (2).dm_26.dm_meta,3488805,0:20:01,2288694,,MOD_ROCKET_SPLASH,good,TRUE,0.4366666667,0.5633333333,0.2123847522,0.7297873729,0:20:01,^3Xen_Crypt,^7playing,MOD_ROCKET_SPLASH,0,0,5.131132603,155.4888611,133,1067,99,506,793,179,419,,,242,67
2020-05-10 ctf4 4v4.dm_26.dm_meta,1125605,0:17:27,72047,1295258,MOD_ROCKET_SPLASH,good,TRUE,0.5866666667,0.5266666667,0.02851085048,0.6279932358,0:17:27,^3Xen_Crypt,^7enab,MOD_ROCKET_SPLASH,0,0,68.69661713,2081.715576,,156,0,4109,,,,,,,
2020-06-20 kejim 3v3 (4).dm_26.dm_meta,12380596,0:01:09,12312253,13289845,MOD_ROCKET_SPLASH,good,TRUE,0.5013888889,0.49,0.8063959847,0.433355854,0:01:09,^7xenspec,^7csr,MOD_ROCKET_SPLASH,0,0,5.74161768,173.9884186,1266,185,1064,724,20,78,262,,,0,0
2020-07-20 kejim 3v3.dm_26.dm_meta,2573220,0:19:42,1392810,2691162,MOD_ROCKET_SPLASH,good,TRUE,0.3233333333,0.28,0.5667428502,0.5635088352,0:19:42,^7xen,^7lag,MOD_ROCKET_SPLASH,104.2797546,0.4514275193,104.2797546,3159.992676,745,628,198,591,563,29,399,,,81,0
2020-09-03 kejim 4v4.dm_26.dm_meta,84685441,0:15:46,83741080,84689995,MOD_ROCKET_SPLASH,good,TRUE,0.4258333333,0.53,0.965345917,0.7300632485,0:15:46,^3Sen_Crypt,^7X's Holy Kitten,MOD_ROCKET_SPLASH,0,0,0,0,1827,0,0,1277,319,45,258,,,569,439
awb_chase_ctf_talay_039_smooth.dm_26.dm_meta,358615389,0:09:17,358059702,,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.5966666667,0.67,0.1779017662,0.609981587,0:09:17,,jawa,MOD_REPEATER_ALT_SPLASH,83.90618896,0.1412562132,84.94072723,2573.961426,85,252,2,226,117,55,239,,,18,0
