_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
0043_sniper.dm_26.dm_meta,17632150,0:07:06,17218500,18416500,MOD_DISRUPTOR_SNIPER,good,FALSE,0.71,0.66,0.6379370851,0.9899772804,0:07:06,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},^7Padawan w/ rabies,MOD_DISRUPTOR_SNIPER,0.3285352886,0.006570705678,35.72881699,1082.691406,666,0,0,26,478,356,452,,,294,200
0841_rocket.dm_26.dm_meta,32448100,0:07:25,32017000,33218650,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7033333333,0.7166666667,0.5441164501,0.9850625579,0:07:25,^3Xen_Crypt,[EJA]Ka'nukBass[PL],MOD_DISRUPTOR_SNIPER,0.777336061,0.003109344281,43.16954803,1308.168091,552,0,0,18,100,219,213,,,54,50
0911sniper_0920sniper_1924airs.dm_26.dm_meta,4258350,0:07:38,3822700,5005200,MOD_DISRUPTOR_SNIPER,good,FALSE,0.8033333333,0.7366666667,0.5032275805,0.9970927065,0:07:38,^0Ryo Hazuki,The Crack Fox,MOD_DISRUPTOR_SNIPER,1.054301262,0.02108602598,49.06030273,1486.675903,621,0,0,63,127,289,173,,,98,21
0911sniper_0920sniper_1924airs.dm_26.dm_meta,4351200,0:09:11,3822700,5005200,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5766666667,0.5633333333,0.8501110176,0.978177456,0:09:11,^0Ryo Hazuki,^0monarch,MOD_DISRUPTOR_SNIPER,0,0,46.80885315,1418.450073,281,0,0,0,765,513,766,,,276,140
1013_rocket.dm_26.dm_meta,57064600,0:17:32,56222500,57287350,MOD_DISRUPTOR_SNIPER,good,FALSE,0.8066666667,0.5033333333,0.9050073354,0.99862104,0:17:32,^3Xen_Crypt,The Crack Fox,MOD_DISRUPTOR_SNIPER,8.178172112,0.02726057358,45.09933853,1366.646606,854,178,359,253,521,180,472,,,115,51
1419_snipe_ctf4.dm_26.dm_meta,42070550,0:04:29,41819950,43017350,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6233333333,0.6866666667,0.6523641244,0.9972392339,0:04:29,^3Xen_Crypt,^1-^7LHC^1-^3Jes^1-^7M^1-,MOD_DISRUPTOR_SNIPER,0,0,29.54276657,895.2353516,835,10,0,135,7,252,300,,,289,289
1419_snipe_ctf4.dm_26.dm_meta,42117650,0:05:16,41819950,43017350,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6266666667,0.7233333333,0.72305607,0.9714105538,0:05:16,^3Xen_Crypt,^1-^7LHC^1-^3Jes^1-^7M^1-,MOD_DISRUPTOR_SNIPER,0,0,41.27684021,1250.813354,454,0,0,265,315,0,349,,,16,0
2017-12-29 dosuun 4v4 0149.dm_26.dm_meta,1233119,0:18:23,130325,1345055,MOD_DISRUPTOR_SNIPER,good,FALSE,0.69,0.56,0.8473258838,0.9755280918,0:18:23,^3Xen_Crypt,,MOD_DISRUPTOR_SNIPER,0.846054256,0.02563800849,1.995803475,60.47889328,1144,595,429,628,382,224,416,,,88,42
2018-04-18 cairn 5v5.dm_26.dm_meta,793072,0:06:22,309655,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.57,0.6133333333,0.5210282316,0.9870694143,0:06:22,^3Xen_Crypt,,MOD_DISRUPTOR_SNIPER,0,0,9.821251869,297.6137085,355,0,0,0,371,0,514,,,15,0
2018-04-25 nelvaan 4v4 (2).dm_26.dm_meta,1544647,0:08:00,1066015,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.75,0.7166666667,0.5209088786,0.9970901684,0:08:00,^3Xen_Crypt,^7leonardo^0:),MOD_DISRUPTOR_SNIPER,0.6437088251,0.01950632781,8.676774025,262.9325562,1062,0,0,118,271,132,551,,,414,295
