_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_nb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
1013_rocket.dm_26.dm_meta,56839650,0:13:47,56222500,57287350,MOD_BLASTER,bad,FALSE,,,,,,0:13:47,^3Xen_Crypt,^2Greenman,MOD_BLASTER,45.01087952,0.04286750406,54.20861816,1642.685425,186,82,262,180,123,1,241,,,93,75
1808_crazy_thermal_ctf3.dm_26.dm_meta,13301000,0:19:07,13045200,13980750,MOD_BLASTER,bad,FALSE,,,,,,0:19:07,^3Xen_Crypt,Padaweenie,MOD_BLASTER,6.820556641,0.1364111304,28.52583122,864.4191284,181,0,0,135,165,0,67,,,7,0
2018-01-06 talravin 2v2.dm_26.dm_meta,3310514,0:10:41,2669984,3884714,MOD_BLASTER,bad,FALSE,,,,,,0:10:41,^3Xen_Crypt,^7Espectador,MOD_BLASTER,0.965703845,0.02926375344,3.781056881,114.5774841,757,319,370,366,98,14,12,,,400,399
2018-05-18 taspir 5v5.dm_26.dm_meta,451819,0:01:18,374731,1589329,MOD_BLASTER,bad,FALSE,,,,,,0:01:18,^3Xen_Crypt,^7nero,MOD_BLASTER,0,0,7.739907265,234.5426483,255,219,0,258,271,4,515,,,12,0
2018-05-21 telti 4v4.dm_26.dm_meta,790036,0:07:50,321238,,MOD_BLASTER,bad,FALSE,,,,,,0:07:50,^3Xen_Crypt,^1^^7Seef^1.,MOD_BLASTER,0,0,16.80618858,509.2784424,81,333,0,526,152,250,122,,,120,24
2018-05-26 talravin 5v5.dm_26.dm_meta,1338690,0:06:26,953514,1652619,MOD_BLASTER,bad,FALSE,,,,,,0:06:26,^3Xen_Crypt,^7Jan,MOD_BLASTER,0.0439453125,0.001331676147,0.06214805692,1.883274436,165,424,106,465,181,10,88,,,3,0
2018-06-24 telti 4v4.dm_26.dm_meta,867413,0:12:56,92012,1495007,MOD_BLASTER,bad,FALSE,,,,,,0:12:56,^3Xen_Crypt,^7-=^1redstar^7=-,MOD_BLASTER,3.982729673,0.02011479624,20.95474434,634.9922485,105,438,34,403,471,266,466,,,413,34
2018-06-24 telti 4v4.dm_26.dm_meta,1054226,0:16:03,92012,1495007,MOD_BLASTER,bad,FALSE,,,,,,0:16:03,^3Xen_Crypt,^7-=^1redstar^7=-,MOD_BLASTER,15.45684052,0.1561297029,24.04430771,728.6154175,84,113,99,329,206,143,197,,,115,88
2018-12-14 aeten 4v4.dm_26.dm_meta,349278238,0:13:28,348520459,349391692,MOD_BLASTER,bad,FALSE,,,,,,0:13:28,^3XEN_CRYPT,^3L^7G,MOD_BLASTER,0.1563381851,0.00473752059,24.95633316,756.2525024,148,79,0,252,9,8,28,,,0,0
2019-05-25 dantooine 4v4.dm_26.dm_meta,682019,0:08:34,168836,966314,MOD_BLASTER,bad,FALSE,,,,,,0:08:34,^3Xen_Crypt,^3L^7G,MOD_BLASTER,0,0,21.54693031,652.9372559,233,437,148,429,362,590,395,,,148,122
2019-06-08 dantooine 4v4 0451.dm_26.dm_meta,936185,0:12:59,158771,1373633,MOD_BLASTER,bad,FALSE,,,,,,0:12:59,^3Xen_Crypt,^7R U T H L E S S,MOD_BLASTER,0,0,19.93828201,604.1903687,271,249,69,254,73,68,337,,,201,201
2019-12-26 dantooine 4v4.dm_26.dm_meta,1686448,0:19:56,491287,1706050,MOD_BLASTER,bad,FALSE,,,,,,0:19:56,^3Xen_Crypt,,MOD_BLASTER,0,0,63.88316345,1935.853394,79,790,131,845,450,99,582,,,165,49
2020-02-09 dantooine 4v4.dm_26.dm_meta,1299981,0:14:05,273120,,MOD_BLASTER,bad,FALSE,,,,,,0:14:05,^3Xen_Crypt,^7Padawan,MOD_BLASTER,8.466422081,0.08551941812,41.93592453,1270.785645,142,475,59,420,395,185,399,,,309,49
2020-02-21 salliche 4v4.dm_26.dm_meta,1086735,0:13:20,288300,1502700,MOD_BLASTER,bad,FALSE,,,,,,0:13:20,^3Xen_Crypt,^4b^7aku^5.,MOD_BLASTER,0,0,20.6699295,626.3615112,170,692,181,647,845,334,620,,,135,27
2020-02-21 salliche 4v4.dm_26.dm_meta,1392348,0:18:25,288300,1502700,MOD_BLASTER,bad,FALSE,,,,,,0:18:25,^3Xen_Crypt,^7-=^1redstar^7=-,MOD_BLASTER,9.286074638,0.07034905255,12.40841675,376.0126343,678,259,0,218,508,265,450,,,338,21
2020-02-23 telti 4v4.dm_26.dm_meta,856193,0:11:47,150686,1364624,MOD_BLASTER,bad,FALSE,,,,,,0:11:47,^3Xen_Crypt,^5ski,MOD_BLASTER,1.475617647,0.02235784382,10.60377121,321.326416,146,267,106,290,193,52,254,,,197,141
2020-02-28 telti 4v4.dm_26.dm_meta,891569,0:12:56,116630,1330898,MOD_BLASTER,bad,FALSE,,,,,,0:12:56,^3Xen_Crypt,^7DJ Wielki Huj,MOD_BLASTER,0,0,20.62225723,624.9168701,266,301,52,292,531,30,414,,,40,0
2020-02-28 telti 4v4.dm_26.dm_meta,894143,0:12:59,116630,1330898,MOD_BLASTER,bad,FALSE,,,,,,0:12:59,^3Xen_Crypt,^7LEVI BASE ONLY,MOD_BLASTER,0,0,50.25496674,1522.877808,58,200,0,151,233,31,196,,,9,0
2020-03-20 dantooine 4v4.dm_26.dm_meta,569196,0:05:22,248733,1463628,MOD_BLASTER,bad,FALSE,,,,,,0:05:22,^3Xen_Crypt,^7SAO^1^^7Gato^1^^7I,MOD_BLASTER,2.567729473,0.077809982,6.228407383,188.739624,458,584,279,603,85,108,704,,,73,68
2020-03-20 dantooine 4v4.dm_26.dm_meta,1130163,0:14:43,248733,1463628,MOD_BLASTER,bad,FALSE,,,,,,0:14:43,^3Xen_Crypt,^7CYDNOTILTMODEAKANOTCHASE,MOD_BLASTER,0,0,26.83546448,813.1959229,145,112,0,323,358,375,241,,,44,13
2020-04-13 ns_streets 2v2.dm_26.dm_meta,1143421,0:19:03,10828,1214668,MOD_BLASTER,bad,FALSE,,,,,,0:19:03,^3XEN_CRYPT,^7ariza,MOD_BLASTER,1.506950259,0.00652359426,4.432169914,134.3081818,778,240,89,193,64,2,38,,,0,0
2020-04-13 ns_streets 2v2.dm_26.dm_meta,1155301,0:19:15,10828,1214668,MOD_BLASTER,bad,FALSE,,,,,,0:19:15,^3XEN_CRYPT,^7ariza,MOD_BLASTER,0.6304467916,0.002388056135,1.690011859,51.21248245,42,0,0,0,128,21,175,,,3,0
