_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
1.665 04-51_0658 3 x mpctf_kejim 2019-07-28_20-21-06.dm_26.dm_meta,501084,0:04:52,492108,508080,MOD_ROCKET,good,FALSE,0.3033333333,0.33,0.3067958758,0.6523205337,0.3546056449,-0.212792821,0.359284705,0.4,0.9613060478,0.9996952483,0.5383300781,0.004078258295,4.105584621,124.4116592,1549,669,390,609,896,48,252,1980,-4,2164,1668,^7x,^7fuck duo
10 easing rapod mpctf_telti 2016-07-16_19-29-02.dm_26.dm_meta,926062,0:00:44,882337,2097958,MOD_ROCKET,good,FALSE,0.6533333333,0.51,0.6439395287,0.831803276,0.9900244474,0.09080400525,0.4205425276,0.4,1.75E-08,0.5628129322,3.521118164,0.02667513676,102.7802734,3114.553711,476,251,0,175,1257,121,635,561,16,524,162,^7easing rapod,^7Padawan
10 easing rapod mpctf_telti 2016-07-16_19-29-02.dm_26.dm_meta,1473796,0:09:52,882337,2097958,MOD_BLASTER,good,FALSE,0.8566666667,0.83,1,0.9999870487,0.908562243,3.177366633,0.6680398759,1,1,0.9981115952,0.87890625,0.0266335234,54.63296127,1655.544312,340,425,0,532,443,281,485,,,58,20,^7easing rapod,^7The King In The North
10 easing rapod mpctf_telti 2016-07-16_19-29-02.dm_26.dm_meta,1886230,0:16:44,882337,2097958,MOD_BLASTER,good,TRUE,0.8566666667,0.83,1,0.9355301189,0.9330416322,3.245929833,0.7710131157,0.8,1,1,115.890213,0.1596283913,129.007431,3909.316162,384,459,0,417,287,103,240,,,133,79,^7easing rapod,^7The King In The North
11  mpctf_talravin 2018-12-09_20-15-29.dm_26.dm_meta,862599,0:11:10,193161,1537647,MOD_DISRUPTOR_SNIPER,good,TRUE,0.4333333333,0.52,0.798797833,0.8401256427,0.01556659024,0.1733418323,0.1080463855,0.2,1,1,0,0,0.9118817449,27.63278008,1200,0,0,0,643,110,619,,,2196,2089,^7...?,^0ent
11 x mpctf_kejim 2020-04-24_18-23-54.dm_26.dm_meta,2766996,0:18:08,1679547,2895168,MOD_REPEATER_ALT,good,FALSE,0.5533333333,0.6,0.4050264589,0.7907862459,0.9234747291,-0.0361787051,0.3952036715,0.2,1,0.8961309507,1.098632813,0.03329190239,29.26272964,886.7493896,644,378,65,294,351,160,504,429,-12,20,6,^7x,^7lg
12 anti onazi infantry unit mpctf_talravin 2017-02-26_21-21-08.dm_26.dm_meta,535730,0:05:43,192992,1408613,MOD_ROCKET,good,FALSE,0.4666666667,0.5033333333,0.4171543006,0.6212290239,0.8211191297,-0.155193614,0.3325557184,0.4,3.43E-07,0.4722071541,0,0,0,0,330,312,516,350,1118,163,660,,,473,250,^7anti onazi infantry unit,^1R^7obi^2.
12 easer mpctf_talravin 2017-04-30_19-24-29.dm_26.dm_meta,310439,0:02:30,160883,1376504,MOD_ROCKET,good,FALSE,0.6183333333,0.47,0.4744693487,0.7315586127,0.9159322977,-0.1525068943,0.3639256884,0.8,4.57E-07,0.8457485793,0,0,13.89881706,421.1762695,642,522,301,694,899,327,650,660,1,488,404,^7easer,
13 ARK GOD mpctf_nelvaan 2018-12-30_21-34-13.dm_26.dm_meta,196325,0:00:14,182795,1398416,MOD_ROCKET,good,FALSE,0.5633333333,0.5066666667,0.3532280343,0.6768787582,0.8942995071,-0.2971772354,0.2993864976,0.6,0.9995725716,0.6415929875,0,0,18.36626434,556.5534668,499,713,260,508,1214,487,617,627,-12,646,388,^7ARK GOD,^7jaw^94
14 easing rapod mpctf_kejim 2016-01-01_17-29-52.dm_26.dm_meta,1239657,0:15:07,333048,1548669,MOD_REPEATER_ALT,good,FALSE,0.41,0.48,0.5659303299,0.5935405737,0.4046617746,0.08474410824,0.5105070707,0.2,3.10E-08,0.732167366,0,0,34.89293671,1057.361694,522,258,246,224,181,554,342,429,67,627,502,easing rapod,^0ent
