_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
1.507 12-56_0857 3 chase mpctf_carratos 2019-07-01_22-17-51.dm_26.dm_meta,1129573,00:12:56.857,1120597,1136569,MOD_ROCKET,bad,True,0.01,0.013333333333333334,0.04171715553038167,0.017648770060099232,0.0012351495679467916,-1.0768079736486735,0.10046331100629714,0.0,1.0765898713845988e-15,7.836935518352038e-14,22.140016555786133,0.670909583568573,94.80242919921875,2872.80078125,102.0,292,325,212,766.0,180.0,678.0,66.0,31.0,2472.0,2175.0,^7chase,^7gengszter99
1.517 10-04_0432 2 chase mpctf_kejim 2019-06-29_20-24-33.dm_26.dm_meta,630803,00:10:04.432,621827,637799,MOD_BRYAR_PISTOL_ALT,good,False,0.5066666666666667,0.5433333333333333,0.40723578584903625,0.6678013495933354,0.9596061110496521,-0.1353403996736654,0.4503081926551995,0.4,9.866503955289654e-10,0.9424017397783444,1.87294340133667,0.02837792970240116,17.060802459716797,516.9940185546875,469.0,572,324,547,651.0,21.0,483.0,330.0,29.0,320.0,77.0,^7chase,^7gengszter99
1.637 01-00_0394 2 x mpctf_manaan 2019-06-29_21-30-42.dm_26.dm_meta,443338,00:01:00.394,434362,450334,MOD_BRYAR_PISTOL_ALT,bad,False,0.37333333333333335,0.47,0.6822521068614954,0.20252983748580744,0.10338258743286133,0.29211456824679893,0.5792696023617807,0.2,0.15099676199785728,0.49127844615436217,0.0,0.0,3.798799991607666,115.11515045166016,884.0,678,203,662,1129.0,151.0,644.0,594.0,5.0,1670.0,820.0,^7x,^6_^0ls's fa^6i^0thful a^6l^0ly
1.767 13-08_0407 2 x mpctf_carratos 2019-07-19_21-59-24.dm_26.dm_meta,991497,00:13:08.407,982521,998493,MOD_ROCKET,bad,False,0.23,0.24666666666666667,0.31862173983939845,0.13250819107104742,0.003694858867675066,-0.3428426802845723,0.3012761439418289,0.2,2.9596805015516616e-07,0.6675530310063044,3.2357022762298584,0.09805158525705338,19.89423942565918,602.8557739257812,411.0,531,99,722,536.0,400.0,471.0,462.0,45.0,393.0,127.0,^7x,^6_^0ls's fa^6i^0thful a^6l^0ly
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,117475,00:00:14.550,103350,1318925,MOD_ROCKET_SPLASH,bad,False,0.10333333333333333,0.10666666666666667,0.1453461924615187,0.09891789881142536,0.002991165965795517,-0.6914189920006288,0.18300337068156625,0.4,2.5200242617158524e-08,0.5787326759314649,0.0,0.0,0.52734375,15.980113983154297,232.0,429,0,445,674.0,166.0,326.0,,,378.0,12.0,^5corellia king,^1DOWN WITH THE SICKNESS
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,302025,00:03:19.100,103350,1318925,MOD_ROCKET_SPLASH,bad,False,0.1,0.15666666666666668,0.1461855628304177,0.13275879037918664,0.003305955557152629,-0.6958804328006377,0.18271603248289534,0.4,1.604702064847788e-08,0.3471267626478202,22.096290588378906,0.1262645125389099,33.65860366821289,1019.9577026367188,142.0,334,14,442,516.0,90.0,433.0,,,95.0,18.0,^5corellia king,
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,336475,00:03:53.550,103350,1318925,MOD_FALLING,bad,False,,,,,,,,,,,0.0,0.0,41.00797653198242,1242.666015625,102.0,413,144,273,519.0,0.0,622.0,,,28.0,11.0,^5corellia king,
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,377600,00:04:34.675,103350,1318925,MOD_ROCKET_SPLASH,bad,False,0.05,0.06,0.04946146551709691,0.04131037017245675,0.00022907450329512358,-1.070595693686871,0.09788712221163355,0.0,0.9268815967043315,0.0030158004981260074,0.0,0.0,116.5535888671875,3531.927001953125,55.0,357,192,505,365.0,99.0,504.0,,,1648.0,1462.0,^5corellia king,
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,434500,00:05:31.575,103350,1318925,MOD_TRIP_MINE_SPLASH,bad,False,,,,,,,,,,,32.068660736083984,0.06751296669244766,80.0098648071289,2424.541259765625,50.0,694,314,293,412.0,444.0,399.0,,,311.0,128.0,^5corellia king,^1DOWN WITH THE SICKNESS
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,438050,00:05:35.125,103350,1318925,MOD_TRIP_MINE_SPLASH,bad,False,,,,,,,,,,,26.89315414428711,0.04677070304751396,26.89315414428711,814.944091796875,69.0,832,376,335,424.0,22.0,395.0,,,32.0,9.0,^5corellia king,^4^^0Sy^4l^0ar
