_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
1.507 12-56_0857 3 chase mpctf_carratos 2019-07-01_22-17-51.dm_26.dm_meta,1129573,00:12:56.857,1120597,1136569,MOD_ROCKET,bad,True,0.01,0.006666666666666667,0.05143206824298561,0.013538965468003743,0.0003247719432692975,-1.1044003635459765,0.086869560410421,0.0,4.858475280812717e-13,3.8111266491749143e-13,22.140016555786133,0.670909583568573,94.80242919921875,2872.80078125,102.0,292,325,212,766.0,180.0,678.0,66.0,31.0,2472.0,2175.0,^7chase,^7gengszter99
1.637 01-00_0394 2 x mpctf_manaan 2019-06-29_21-30-42.dm_26.dm_meta,443338,00:01:00.394,434362,450334,MOD_BRYAR_PISTOL_ALT,bad,False,0.42,0.4533333333333333,0.7238763568461145,0.2149395974436499,0.127861887216568,0.3445643797205171,0.536685483391495,0.2,0.998395009873405,0.41979486805540106,0.0,0.0,3.798799991607666,115.11515045166016,884.0,678,203,662,1129.0,151.0,644.0,594.0,5.0,1670.0,820.0,^7x,^6_^0ls's fa^6i^0thful a^6l^0ly
1.767 13-08_0407 2 x mpctf_carratos 2019-07-19_21-59-24.dm_26.dm_meta,991497,00:13:08.407,982521,998493,MOD_ROCKET,good,False,0.20333333333333334,0.25666666666666665,0.33883466745099305,0.1341923705829281,0.018501656129956245,-0.33028409689791616,0.2741332891776893,0.2,5.42881935451132e-08,0.6355296306075872,3.2357022762298584,0.09805158525705338,19.89423942565918,602.8557739257812,411.0,531,99,722,536.0,400.0,471.0,462.0,45.0,393.0,127.0,^7x,^6_^0ls's fa^6i^0thful a^6l^0ly
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,117475,00:00:14.550,103350,1318925,MOD_ROCKET_SPLASH,bad,False,0.11666666666666667,0.11666666666666667,0.1331367014825716,0.07213392885505422,0.004645555280148983,-0.7164628630283465,0.17278531679825715,0.4,6.34630366284724e-11,0.5202389869087273,0.0,0.0,0.52734375,15.980113983154297,232.0,429,0,445,674.0,166.0,326.0,,,378.0,12.0,^5corellia king,^1DOWN WITH THE SICKNESS
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,302025,00:03:19.100,103350,1318925,MOD_ROCKET_SPLASH,bad,False,0.08,0.12666666666666668,0.12086559271647021,0.14334099951933696,0.0048688543029129505,-0.7537287687863395,0.16377598068524904,0.2,2.044100111877678e-15,0.26969820320402715,22.096290588378906,0.1262645125389099,33.65860366821289,1019.9577026367188,142.0,334,14,442,516.0,90.0,433.0,,,95.0,18.0,^5corellia king,
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,336475,00:03:53.550,103350,1318925,MOD_FALLING,bad,False,,,,,,,,,,,0.0,0.0,41.00797653198242,1242.666015625,102.0,413,144,273,519.0,0.0,622.0,,,28.0,11.0,^5corellia king,
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,377600,00:04:34.675,103350,1318925,MOD_ROCKET_SPLASH,bad,False,0.03666666666666667,0.08,0.04504820048261515,0.029401974138806557,0.0002119971177307889,-1.1169362290567322,0.1017365735640773,0.0,1.2287255585114688e-08,0.0051497710716956755,0.0,0.0,116.5535888671875,3531.927001953125,55.0,357,192,505,365.0,99.0,504.0,,,1648.0,1462.0,^5corellia king,
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,434500,00:05:31.575,103350,1318925,MOD_TRIP_MINE_SPLASH,bad,False,,,,,,,,,,,32.068660736083984,0.06751296669244766,80.0098648071289,2424.541259765625,50.0,694,314,293,412.0,444.0,399.0,,,311.0,128.0,^5corellia king,^1DOWN WITH THE SICKNESS
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,438050,00:05:35.125,103350,1318925,MOD_TRIP_MINE_SPLASH,bad,False,,,,,,,,,,,26.89315414428711,0.04677070304751396,26.89315414428711,814.944091796875,69.0,832,376,335,424.0,22.0,395.0,,,32.0,9.0,^5corellia king,^4^^0Sy^4l^0ar
10 corellia king mpctf_talay 2015-12-28_01-22-04.dm_26.dm_meta,504150,00:06:41.225,103350,1318925,MOD_REPEATER_ALT_SPLASH,bad,False,0.15333333333333332,0.14,0.11505050013241423,0.0661793560434964,0.009894583374261856,-0.7338814240240524,0.1695227785934016,0.2,5.4478425547689015e-05,0.11085114201391953,5.129570960998535,0.20518283545970917,47.818641662597656,1449.0498046875,294.0,236,222,369,204.0,94.0,415.0,,,56.0,0.0,^5corellia king,
