_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
0 Xen_Crypt mpctf_kejim 2015-12-09_21-41-17.dm_26.dm_meta,172463695,0:04:34,172190323,173405944,MOD_REPEATER_ALT,good,FALSE,0.62,0.5933333333,0.3989365786,0.9034955374,0.8746424913,-0.09550777495,0.4194872772,0.6,0.9999999868,0.4146061064,21.7635479,0.04710724577,21.7635479,659.5014648,962,209,42,375,472,108,246,660,-15,267,124,^3Xen_Crypt,r^4d^7l
0 Xen_Crypt mpctf_kejim 2015-12-09_22-18-44.dm_26.dm_meta,174723741,0:04:46,174438324,175653945,MOD_REPEATER_ALT,good,TRUE,0.5533333333,0.57,0.1317216003,0.9090076989,0.9058697224,-0.7106322631,0.1969199874,0.6,4.69E-18,5.06E-05,28.66487122,0.1240903512,35.61885834,1079.359375,818,238,829,625,706,16,472,660,-20,276,34,^3Xen_Crypt,r^4d^7l
1 Xen_Crypt mpctf_kejim 2015-11-09_01-27-39.dm_26.dm_meta,2012224,0:08:48,1484818,2700439,MOD_ROCKET,good,FALSE,0.2,0.285,0.6833149701,0.03761560539,0.05675362051,0.2779814388,0.4801544163,0.4,0.9999998931,0.9998600023,1.135119438,0.03439755738,11.86024952,359.4014893,1383,434,0,534,419,9,295,1452,-1,59,0,^3Xen_Crypt,^^0<^1=
10 xen mpctf_telti 2023-03-15_21-33-20.dm_26.dm_meta,297833,0:00:47,251600,1466231,MOD_ROCKET,good,FALSE,0.06,0.06,0.1107922507,0.006124533133,0.0003989293182,-0.7812511485,0.1520853169,0,2.28E-12,0.5413471812,2.083328962,0.03156559169,10.58066273,320.6261597,73,370,467,673,952,177,550,132,5,352,45,^7xen,^7fuck shitty euro net
10 Xen_Cryp(90 power) mpctf_kejim 2023-10-14_22-01-42.dm_26.dm_meta,1248299,0:18:28,141050,1355681,MOD_ROCKET,good,FALSE,0.32,0.4016666667,0.5310960327,0.3028930587,0.05214502662,0.02196742352,0.397566941,0.4,0.9999979968,0.9291604047,0,0,1.102389216,33.40573502,723,267,0,283,773,355,594,1023,-21,41,15,^3Xen_Cryp(90. power),^7?fuck jawa
10 Xen_Crypt mpctf_kejim 2015-09-19_23-24-22.dm_26.dm_meta,983936,0:13:40,164084,1379705,MOD_ROCKET,good,TRUE,0.4466666667,0.5033333333,0.5332967867,0.7245810379,0.4514703453,0.009256853856,0.3738131602,0.4,0.9999999976,0.008289213211,77.87646484,0.102604039,77.93928528,2361.796631,400,331,0,323,813,340,663,330,3,197,151,^3Xen_Crypt,Florentino Ariza
10 Xen_Crypt mpctf_kejim 2017-03-18_19-26-31.dm_26.dm_meta,430402,0:03:55,196201,1411822,MOD_ROCKET,good,FALSE,0.4033333333,0.32,0.3040782618,0.2829711934,0.03757902235,-0.3177487433,0.2714368987,0.2,0.9999999116,0.6315790338,0.3863221705,0.01170673221,1.87642014,56.8612175,471,321,0,497,727,238,543,462,3,485,51,^3Xen_Crypt,^7snk
10 Xen_Crypt mpctf_kejim 2021-10-10_20-02-14.dm_26.dm_meta,591533,0:08:12,99701,1315322,MOD_THERMAL,good,FALSE,0.5563888889,0.48,0.7826829372,0.9694018299,0.9152749181,0.4977631396,0.2321036568,0.6,1,0.9941100779,0.9843804836,0.02982971072,0.9843804836,29.82971191,259,17,318,308,899,26,594,396,-19,900,9,^3Xen_Crypt,^4h^0annah
11 Xen_Crypt mpctf_kejim 2021-08-23_20-35-56.dm_26.dm_meta,7411907,0:12:19,6673796,7889417,MOD_THERMAL,good,FALSE,0.4061111111,0.4116666667,0.5368394015,0.9788426354,0.2907721996,0.02195830704,0.2132057233,0.4,1.10E-13,0.9748798874,0.7699252963,0.02333107032,7.118778229,215.7205505,255,63,208,177,215,740,315,264,61,396,156,^3Xen_Crypt,^7Mr PuttBlug
11 Xen_Crypt mpctf_kothis_v4 2022-10-14_17-57-07.dm_26.dm_meta,547379,0:00:42,505337,1719968,MOD_THERMAL,good,FALSE,0.5486111111,0.555,0.556749233,0.2323929921,0.7913565636,0.02469491167,0.2581501335,0.6,1,0.9987796936,0,0,3.074508905,93.16693878,262,342,484,510,1068,315,549,330,17,186,23,^3Xen_Crypt,^2h^0annah
