_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
0540_1443_ctf_aeten.dm_26.dm_meta,462350863,0:14:38,461473459,,MOD_REPEATER_ALT,good,FALSE,0.5733333333,0.4366666667,0.6910046736,0.7217067081,0.9055426121,0.2546430913,0.5543931535,0.6,0.8109203236,0.9913985057,0.4449462891,0.001498135622,2.78789854,84.48177338,865,308,81,371,660,183,574,660,16,103,45,^3Xen_Crypt,^7Dan
0922_1113_2005_ctf_krildor.dm_26.dm_meta,41246744,0:08:14,40753856,,MOD_ROCKET,good,TRUE,0.4466666667,0.3933333333,0.5784665514,0.07444043146,0.08118132502,0.08554465046,0.4456530133,0.6,6.55E-07,0.9972812081,0,0,2.318050146,70.24394226,1177,212,1165,817,824,59,432,957,-7,34,0,^3Xen_Crypt,/^433^77^4*^7*n^4U^7b
1736_ctf_talravin.dm_26.dm_meta,384708288,0:15:14,383795145,,MOD_ROCKET,good,TRUE,0.2733333333,0.2766666667,0.1202226236,0.1402054161,0.2184602469,-0.7147925655,0.1886631598,0.8,2.68E-14,0.8527476828,0,0,0,0,723,653,1182,1025,569,6,347,726,0,61,0,^3Xen_Crypt,salsol
0015_ctf_kejim.dm_26.dm_meta,487941852,0:00:13,487929675,,MOD_ROCKET,good,FALSE,0.41,0.29,0.4874795086,0.3851978784,0.8922311068,-0.02321395845,0.3889734294,0,1.98E-24,0.004239830072,0,0,125.3307953,3797.902832,570,398,818,653,847,209,892,330,24,2409,1723,^3Xen_Crypt,^3^^0EWPS^1|^5myth
0304_0612_1425_ctf4.dm_26.dm_meta,27249170,0:07:21,26808587,,MOD_ROCKET,good,FALSE,0.35,0.3666666667,0.3802728806,0.5011921302,0.4688204527,-0.2395455189,0.3035004448,0.2,0.02882592843,0.3771409197,0,0,69.62555695,2109.865479,428,340,249,395,731,101,451,363,34,147,51,^3Xen_Crypt,k|ngha|o
0515_ctf4.dm_26.dm_meta,5714105,0:06:42,5313254,,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.6566666667,0.7466666667,0.7033061837,0.7470641654,0.566147387,0.3223227458,0.5074360138,0.6,0.9999999336,0.9607160991,1.927153468,0.05839858949,38.07362366,1153.746216,338,513,126,490,429,395,409,165,71,601,311,^3Xen_Crypt,
0735_ctf4.dm_26.dm_meta,140458287,0:20:40,139219269,,MOD_ROCKET,good,FALSE,0.6366666667,0.68,0.8802929155,0.9841211692,0.9478693604,0.6444517384,0.6242994691,0.8,3.58E-24,0.9980420682,8.524232864,0.2583100796,41.86832428,1268.737061,1038,534,228,841,1075,46,658,1914,4,188,37,^3Xen_Crypt,deltaaa
1127_ctf_kejim.dm_26.dm_meta,61790311,0:00:48,61742989,,MOD_ROCKET,good,FALSE,0.1583333333,0.22,0.1696478735,0.1635184234,0.09854497015,-0.5532117254,0.2130970704,0.2,0.9971797906,0.6023193845,0.1263427734,0.00382856885,21.40530777,648.6456909,800,254,0,310,452,213,295,660,-25,107,40,^3Xen_Crypt,^9^8R^3om^8bolo
1423_ctf_kejim.dm_26.dm_meta,83893420,0:14:12,83042152,,MOD_ROCKET,good,TRUE,0.36,0.2833333333,0.5318664027,0.5321518675,0.03449619561,0.05889639238,0.4369667828,0.2,9.72E-34,0.000102545307,119.475296,0.1340912431,127.4698334,3862.722168,448,254,0,521,995,382,674,660,-36,203,2,^3Xen_Crypt,I take shower with umbrella
1559_ctf_kejim.dm_26.dm_meta,445860468,0:15:48,444913698,,MOD_ROCKET,good,FALSE,0.6516666667,0.78,0.9829507653,0.6709193071,0.976449132,1.407818277,0.8526861716,0.8,1,0.9999999965,0.2825110257,0.002853646642,0.2825110257,8.560939789,1899,318,0,139,694,1,544,1914,19,457,210,^3Xen_Crypt,petespec
