_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,status_source,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,prob_nb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
1 Xen_Crypt mpctf_kejim 2015-11-09_01-27-39.dm_26.dm_meta,2012224,0:08:48,1484818,2700439,MOD_ROCKET,good,ml,FALSE,0.2333333333,0.2966666667,0.6943238608,0.03286495959,0.03173752129,0.2851565957,0.5125180092,0.4,1.19E-08,0.9997466012,,1.135119438,0.03439755738,11.86024952,359.4014893,1383,434,0,534,419,9,295,1452,-1,59,0,^3Xen_Crypt,^^0<^1=
10 xen mpctf_telti 2023-03-15_21-33-20.dm_26.dm_meta,297833,0:00:47,251600,1466231,MOD_ROCKET,good,ml,FALSE,0.05666666667,0.11,0.1092896776,0.02793366716,0.0006424190942,-0.7949455798,0.1527672403,0,6.80E-13,0.5284533698,,2.083328962,0.03156559169,10.58066273,320.6261597,73,370,467,673,952,177,550,132,5,352,45,^7xen,^7fuck shitty euro net
10 Xen_Cryp(90 power) mpctf_kejim 2023-10-14_22-01-42.dm_26.dm_meta,1248299,0:18:28,141050,1355681,MOD_ROCKET,good,ml,FALSE,0.2766666667,0.3566666667,0.4837082473,0.3487516105,0.09274804592,-0.05254634177,0.367527696,0.4,3.75E-05,0.8885787581,,0,0,1.102389216,33.40573502,723,267,0,283,773,355,594,1023,-21,41,15,^3Xen_Cryp(90. power),^7?fuck jawa
10 Xen_Crypt mpctf_kejim 2015-09-19_23-24-22.dm_26.dm_meta,983936,0:13:40,164084,1379705,MOD_ROCKET,good,ml,TRUE,0.42,0.4433333333,0.5186573511,0.5866389404,0.08232600242,-0.002044630189,0.4074998856,0.4,4.88E-12,0.01806330428,,77.87646484,0.102604039,77.93928528,2361.796631,400,331,0,323,813,340,663,330,3,197,151,^3Xen_Crypt,Florentino Ariza
10 Xen_Crypt mpctf_kejim 2017-03-18_19-26-31.dm_26.dm_meta,430402,0:03:55,196201,1411822,MOD_ROCKET,good,ml,FALSE,0.3166666667,0.3,0.278309185,0.2151160849,0.07432539016,-0.3699424213,0.2569216787,0.2,0.01054357123,0.5365740882,,0.3863221705,0.01170673221,1.87642014,56.8612175,471,321,0,497,727,238,543,462,3,485,51,^3Xen_Crypt,^7snk
10 Xen_Crypt mpctf_kejim 2021-10-10_20-02-14.dm_26.dm_meta,591533,0:08:12,99701,1315322,MOD_THERMAL,good,ml,FALSE,0.545,0.5,0.8220688025,0.7594867032,0.9142782688,0.571852164,0.3034366481,0.6,1,0.993806696,,0.9843804836,0.02982971072,0.9843804836,29.82971191,259,17,318,308,899,26,594,396,-19,900,9,^3Xen_Crypt,^4h^0annah
11 Xen_Crypt mpctf_ichtor 2017-01-18_02-04-59.dm_26.dm_meta,768545,0:09:59,170321,1385942,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.3633333333,0.4066666667,0.2423164618,0.5128468244,0.07660815865,-0.4518831552,0.5489390565,0.8,6.30E-06,0.9347697172,,0,0,1.183786392,35.87231445,515,443,290,717,881,5,471,495,8,121,20,^3Xen_Crypt,^7serk
11 Xen_Crypt mpctf_illimiran 2022-10-02_21-49-34.dm_26.dm_meta,430889,0:03:36,215333,1431086,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6633333333,0.5566666667,0.3675545805,0.7982891704,0.832437396,-0.2205364097,0.4843554221,0.6,0.6525912896,0.9580468232,,0,0,10.86209106,329.1542664,474,845,304,795,1052,119,507,561,1,713,73,^3Xen_Crypt,^7lg
11 Xen_Crypt mpctf_kejim 2024-12-30_23-11-04.dm_26.dm_meta,775508,0:10:47,128576,1431977,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.67,0.6433333333,0.6518458491,0.8304807865,0.9713705182,0.2687237841,0.4798666499,0.6,0.01758094748,0.9667023053,,0,0,5.779019833,175.1218109,767,453,0,427,746,60,648,462,3,385,64,^3Xen_Crypt,^7lg
11 Xen_Crypt mpctf_kothis_v4 2022-10-14_17-57-07.dm_26.dm_meta,547379,0:00:42,505337,1719968,MOD_THERMAL,good,ml,FALSE,0.5447222222,0.6433333333,0.7113770557,0.9360108724,0.7140022516,0.2912431198,0.3517932712,0.4,1,0.9997657572,,0,0,3.074508905,93.16693878,262,342,484,510,1068,315,549,330,17,186,23,^3Xen_Crypt,^2h^0annah
12 Xen_Crypt mpctf4 2015-10-11_19-52-54.dm_26.dm_meta,418085,0:05:27,91880,1307501,MOD_ROCKET,good,ml,TRUE,0.4033333333,0.44,0.354048519,0.8550841383,0.1405654252,-0.1927437059,0.3270722281,0.4,8.98E-16,0.01059589001,,57.02304459,0.2879951894,57.96779633,1756.599854,705,449,0,653,723,411,735,792,-55,57,0,^3Xen_Crypt,^7pete^4@^7backpackmode
12 Xen_Crypt mpctf_kejim 2021-04-14_00-55-07.dm_26.dm_meta,1176759,0:13:29,368028,1345884,MOD_ROCKET,good,ml,FALSE,0.45,0.45,0.3122757905,0.5339588934,0.4918159842,-0.3154523545,0.2813663635,0.4,7.15E-11,0.5104826978,,0,0,10.13365459,307.0804443,357,446,29,492,990,61,669,528,-7,394,56,^3Xen_Crypt,^3I^1n^0glorious
12 Xen_Crypt mpctf_manaan 2017-09-09_19-38-33.dm_26.dm_meta,179033,0:00:31,148739,815372,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5566666667,0.45,0.379320289,0.5048629835,0.6681436896,-0.1963009845,0.5085433368,0.4,0.8711577945,0.9317693235,,0,0,0.8461077809,25.63962936,964,446,350,426,814,274,416,693,-4,834,130,^3Xen_Crypt,^7delta
13 Xen ctf_illimiran_v2 2024-04-05_23-05-53.dm_26.dm_meta,1245428,0:19:49,56405,1271036,MOD_BRYAR_PISTOL_ALT,good,ml,TRUE,0.4766666667,0.3866666667,0.06039411511,0.7257770252,0.9581733346,-1.077237942,0.5322691052,0.2,4.30E-51,0.8149402744,,6.393651485,0.06458234042,25.6913147,778.5247192,1524,1004,285,1110,557,217,494,2211,-5,420,37,^3Xen,^2h^0annah
13 Xen mpctf_manaan 2024-04-06_00-00-00.dm_26.dm_meta,475934,0:05:25,151148,1365779,MOD_ROCKET,good,ml,FALSE,0.2866666667,0.31,0.3615308985,0.04463305848,0.001989243785,-0.2426664191,0.2966929129,0.6,1.32E-10,0.5245979985,,1.105232239,0.008372971788,5.548250675,168.1288147,451,0,0,175,986,7,537,462,1,412,43,^3Xen,^7mercer pickable
13 Xen_Crypt mpctf4 2017-06-17_23-23-07.dm_26.dm_meta,1322751,0:18:57,185703,1401324,MOD_BRYAR_PISTOL_ALT,good,ml,TRUE,0.6266666667,0.6633333333,0.4530442044,0.8094529846,0.8330956697,-0.1093147229,0.4830996769,0.4,1,0.9804980414,,0,0,2.905717611,88.05204773,701,939,11,918,1223,192,800,990,0,383,60,^3Xen_Crypt,^0C^2y^7donis
